iter	Passed	Remaining
430	1621	2140
431	1625	2136
432	1628	2132
433	1632	2128
434	1635	2124
435	1639	2121
436	1643	2117
437	1647	2114
438	1651	2110
439	1655	2106
440	1659	2103
441	1662	2099
442	1666	2095
443	1670	2091
444	1674	2087
445	1677	2083
446	1680	2079
447	1683	2074
448	1687	2071
449	1690	2066
450	1694	2062
451	1697	2057
452	1700	2053
453	1704	2049
454	1708	2046
455	1711	2041
456	1715	2037
457	1719	2034
458	1722	2030
459	1726	2026
460	1729	2022
461	1733	2018
462	1737	2015
463	1740	2010
464	1744	2006
465	1748	2003
466	1752	1999
467	1755	1995
468	1759	1991
469	1762	1987
470	1766	1983
471	1769	1979
472	1773	1975
473	1776	1971
474	1780	1967
475	1783	1963
476	1786	1959
477	1790	1954
478	1793	1950
479	1796	1946
480	1800	1942
481	1803	1938
482	1806	1933
483	1810	1929
484	1814	1926
485	1817	1921
486	1820	1918
487	1824	1914
488	1827	1910
489	1831	1906
490	1834	1902
491	1838	1898
492	1842	1895
493	1847	1892
494	1851	1888
495	1854	1884
496	1858	1881
497	1862	1877
498	1865	1873
499	1869	1869
500	1873	1865
501	1876	1861
502	1881	1858
503	1884	1854
504	1888	1850
505	1892	1847
506	1895	1843
507	1898	1839
508	1902	1834
509	1905	1830
510	1909	1827
511	1912	1823
512	1916	1819
513	1920	1815
514	1924	1812
515	1928	1808
516	1932	1804
517	1935	1801
518	1939	1797
519	1943	1793
520	1946	1789
521	1950	1785
522	1953	1781
523	1957	1778
524	1960	1773
525	1964	1769
526	1967	1765
527	1971	1762
528	1975	1758
529	1978	1754
530	1981	1750
531	1985	1746
532	1988	1742
533	1991	1738
534	1995	1734
535	1998	1730
536	2002	1726
537	2006	1723
538	2010	1719
539	2013	1715
540	2017	1711
541	2021	1708
542	2025	1704
543	2029	1700
544	2032	1697
545	2038	1694
546	2041	1691
547	2045	1686
548	2048	1682
549	2052	1679
550	2056	1675
551	2059	1671
552	2062	1667
553	2066	1663
554	2070	1659
555	2073	1655
556	2076	1651
557	2080	1647
558	2083	1643
559	2087	1640
560	2090	1636
561	2094	1632
562	2098	1628
563	2101	1624
564	2104	1620
565	2108	1616
566	2111	1612
567	2114	1608
568	2118	1604
569	2121	1600
570	2124	1596
571	2128	1592
572	2132	1588
573	2135	1584
574	2139	1581
575	2142	1577
576	2160	1583
577	2163	1579
578	2167	1575
579	2170	1571
580	2173	1567
581	2177	1563
582	2180	1559
583	2184	1555
584	2187	1551
585	2190	1547
586	2194	1544
587	2198	1540
588	2201	1536
589	2204	1532
590	2208	1528
591	2211	1524
592	2215	1520
593	2219	1516
594	2223	1513
595	2227	1509
596	2230	1505
597	2234	1501
598	2238	1498
599	2242	1495
600	2246	1491
601	2250	1487
602	2254	1483
603	2258	1480
604	2262	1476
605	2265	1473
606	2269	1469
607	2273	1465
608	2277	1462
609	2281	1458
610	2285	1454
611	2288	1451
612	2292	1447
613	2296	1443
614	2299	1439
615	2303	1435
616	2307	1432
617	2310	1428
618	2314	1424
619	2317	1420
620	2321	1416
621	2325	1413
622	2328	1409
623	2332	1405
624	2336	1401
625	2340	1398
626	2344	1394
627	2348	1390
628	2352	1387
629	2356	1383
630	2359	1379
631	2362	1375
632	2366	1371
633	2381	1374
634	2385	1371
635	2389	1367
636	2393	1363
637	2396	1359
638	2400	1356
639	2404	1352
640	2407	1348
641	2411	1344
642	2415	1340
643	2419	1337
644	2422	1333
645	2426	1329
646	2429	1325
647	2433	1321
648	2436	1317
649	2440	1314
650	2444	1310
651	2448	1306
652	2452	1302
653	2455	1299
654	2458	1295
655	2462	1291
656	2466	1287
657	2469	1283
658	2472	1279
659	2476	1275
660	2479	1271
661	2483	1268
662	2486	1264
663	2490	1260
664	2493	1256
665	2497	1252
666	2500	1248
667	2503	1244
668	2507	1240
669	2511	1236
670	2514	1233
671	2518	1229
672	2521	1225
673	2525	1221
674	2528	1217
675	2532	1213
676	2535	1209
677	2538	1205
678	2542	1201
679	2546	1198
680	2549	1194
681	2552	1190
682	2556	1186
683	2560	1182
684	2563	1178
685	2566	1174
686	2570	1170
687	2573	1167
688	2577	1163
689	2580	1159
690	2584	1155
691	2587	1151
692	2591	1147
693	2594	1144
694	2598	1140
695	2601	1136
696	2605	1132
697	2609	1128
698	2613	1125
699	2616	1121
700	2620	1117
701	2623	1113
702	2626	1109
703	2630	1105
704	2634	1102
705	2638	1098
706	2641	1094
707	2646	1091
708	2650	1087
709	2653	1083
710	2657	1080
711	2661	1076
712	2664	1072
713	2668	1068
714	2672	1065
715	2675	1061
716	2678	1057
717	2681	1053
718	2685	1049
719	2689	1045
720	2692	1041
721	2695	1037
722	2698	1033
723	2701	1029
724	2705	1026
725	2708	1022
726	2711	1018
727	2714	1014
728	2718	1010
729	2721	1006
730	2724	1002
731	2728	998
732	2731	994
733	2734	991
734	2738	987
735	2741	983
736	2744	979
737	2747	975
738	2751	971
739	2754	967
740	2757	963
741	2760	959
742	2763	955
743	2767	952
744	2770	948
745	2773	944
746	2777	940
747	2780	936
748	2783	932
749	2787	929
750	2790	925
751	2793	921
752	2796	917
753	2799	913
754	2803	909
755	2806	905
756	2809	901
757	2813	898
758	2816	894
759	2819	890
760	2823	886
761	2826	882
762	2830	879
763	2833	875
764	2837	871
765	2840	867
766	2843	863
767	2847	860
